Number,Sale.Date,Full Address,Bathrooms,Age,Total$,Land Area m2,Flrm2,Land$,Capital$,Brms,Pirimai,Onekawa,Marewa,Hospital Hill,Bluff Hill,flooding_status,flooding_zone
12407,04/06/2021,88 Oak Rd,1,0,"$540,000",2073,0,"$520,000","$520,000",-,0,0,0,0,0,1,0
12384,28/05/2021,83 A Waghorne St,1,0,"$480,000",261,0,"$420,000","$420,000",0,0,0,0,0,0,0,0
12377,27/05/2021,54 Pelorus Av,2,0,"$350,000",560,0,"$320,000","$320,000",4,0,0,0,0,0,0,0
12348,21/05/2021,5 Karaka Rd,1,0,"$212,500",361,0,"$215,000","$215,000",3,0,0,0,0,1,0,1
12321,17/05/2021,54 Pelorus Av,2,0,"$1,250,000",560,0,"$320,000","$320,000",4,0,0,0,0,0,0,0
12298,11/05/2021,8 CASSIN PL,2,0,"$409,000",435,0,"$275,000","$275,000",3,0,0,0,0,0,1,0
12302,11/05/2021,5 CASSIN PL,2,RB,"$3,268,695",4205,0,"$2,585,000","$2,585,000",4,0,0,0,0,0,1,0
12275,04/05/2021,231 Puketitiri Rd,1,RB,"$64,000,000",2056870,0,"$11,360,000","$11,510,000",-,0,0,0,0,0,1,0
12227,23/04/2021,621 A Marine Pd,,0,"$550,000",271,0,"$410,000","$410,000",0,0,0,0,0,0,0,0
12203,20/04/2021,269 Riverbend Rd,2,0,"$400,000",2526,0,"$385,000","$385,000",4,0,1,0,0,0,0,1
12158,12/04/2021,23 West Pl,2,0,"$420,000",510,0,"$390,000","$390,000",3,0,0,0,0,0,1,0
12156,11/04/2021,254 Meeanee Rd,2,0,"$540,000",2740,0,"$385,000","$390,000",3,0,0,0,0,0,1,0
12157,11/04/2021,250 Meeanee Rd,2,0,"$510,000",2967,0,"$385,000","$390,000",4,0,0,0,0,0,1,0
12120,08/04/2021,21 RUAPEHU RD,2,0,"$380,000",427,0,"$300,000","$300,000",3,0,0,0,0,0,1,0
12121,08/04/2021,1 Pelorus Av,2,RB,"$346,000",430,0,"$8,600,000","$8,600,000",3,0,0,0,0,0,1,0
12122,08/04/2021,11 RUAPEHU RD,2,0,"$346,000",430,0,"$300,000","$300,000",3,0,0,0,0,0,1,0
12123,08/04/2021,9 RUAPEHU RD,1,0,"$381,780",442,0,"$300,000","$300,000",-,0,0,0,0,0,1,0
12124,08/04/2021,7 RUAPEHU RD,1,0,"$335,000",473,0,"$310,000","$310,000",-,0,0,0,0,0,1,0
12125,08/04/2021,5 RUAPEHU RD,2,0,"$375,500",512,0,"$315,000","$315,000",3,0,0,0,0,0,1,0
12126,08/04/2021,76 Pelorus Av,2,0,"$390,000",528,0,"$320,000","$320,000",3,0,0,0,0,0,1,0
12127,08/04/2021,80 Pelorus Av,2,0,"$402,000",533,0,"$320,000","$320,000",4,0,0,0,0,0,1,0
12128,08/04/2021,14 RUAPEHU RD,2,0,"$429,000",539,0,"$320,000","$320,000",4,0,0,0,0,0,1,0
12129,08/04/2021,6 RUAPEHU RD,2,0,"$416,000",539,0,"$320,000","$320,000",4,0,0,0,0,0,1,0
12130,08/04/2021,16 RUAPEHU RD,2,0,"$371,000",541,0,"$320,000","$320,000",4,0,0,0,0,0,1,0
12131,08/04/2021,78 Pelorus Av,3,0,"$390,000",541,0,"$320,000","$320,000",3,0,0,0,0,0,1,0
12132,08/04/2021,47 Pelorus Av,2,0,"$387,826",548,0,"$320,000","$320,000",3,0,0,0,0,0,1,0
12134,08/04/2021,23 RUAPEHU RD,1,0,"$401,000",569,0,"$320,000","$320,000",3,0,0,0,0,0,1,0
12135,08/04/2021,74 Pelorus Av,3,0,"$403,000",572,0,"$320,000","$320,000",4,0,0,0,0,0,1,0
12136,08/04/2021,20 RUAPEHU RD,2,0,"$353,000",617,0,"$320,000","$320,000",0,0,0,0,0,0,1,0
12137,08/04/2021,12 RUAPEHU RD,2,0,"$576,500",647,0,"$330,000","$330,000",4,0,0,0,0,0,1,0
12138,08/04/2021,3 RUAPEHU RD,2,0,"$462,000",703,0,"$340,000","$340,000",3,0,0,0,0,0,1,0
12139,08/04/2021,25 RUAPEHU RD,2,0,"$401,000",723,0,"$340,000","$340,000",4,0,0,0,0,0,1,0
12140,08/04/2021,42 Aspiring Dr,1,0,"$451,500",760,0,"$345,000","$345,000",-,0,0,0,0,0,1,0
12142,08/04/2021,8 RUAPEHU RD,3,0,"$486,520",797,0,"$350,000","$350,000",6,0,0,0,0,0,1,0
12107,05/04/2021,Oak Rd,,RB,"$825,000",8490,0,"$975,000","$975,000",0,0,0,0,0,0,1,0
